手机型号,上市时间,最低价格,最高价格,最小RAM,最大RAM,最小ROM,最大ROM,重量,屏幕尺寸,屏幕类型,分辨率,芯片型号,CPU得分,CPU核数,CPU主频率,GPU,操作系统,摄像头数,后置主像素,前置主像素,电池容量,充电接口,充电功率,网络类型,5G,无线充电
Huawei Mate 30 Pro 5G,201911,5899,7399,8,8,128,512,198,6.53,OLED,2400x1176,Kirin 990 5G,113.1,8,2.86,16核Mali-G76,EMUI10.0,4,4000,3200,4500,Type-C,40,全网通,Yes,27
Huawei Mate 30 5G,201911,4499,4999,8,8,128,256,196,6.62,OLED,2340x1080,Kirin 990 5G,113.1,8,2.86,16核Mali-G76,EMUI10.0,3,4000,2400,4200,Type-C,40,全网通,Yes,27
Huawei Mate 30 Pro,201909,5399,5899,8,8,128,256,198,6.53,OLED,2400x1176,Kirin 990,109.4,8,2.86,16核Mali-G76,EMUI10.0,4,4000,3200,4500,Type-C,40,全网通,No,27
Huawei Mate 30,201909,3699,3999,6,8,128,128,196,6.62,OLED,2340x1080,Kirin 990,114.4,8,2.86,16核Mali-G76,EMUI10.0,3,4000,2400,4200,Type-C,40,全网通,No,27
Huawei Mate 20 Pro,201810,4499,5099,6,8,128,256,189,6.39,OLED,1440x3120,Kirin 980 ,99.6,8,2.6,Mali G76,EMUI 9.0,3,4000,2400,4200,Type-C,40,全网通,No,15
Huawei Mate 20,201810,2199,2599,6,6,64,128,188,6.53,TFT LCD,1080x2244 ,Kirin 980 ,99.5,8,2.6,Mali G76,EMUI 9.0,3,1200,2400,4000,Type-C,40,全网通,No,0
Huawei Mate 20 X,201909,4299,4299,8,8,256,256,233,7.2,OLED,1080x2244 ,Kirin 980 ,101.6,8,2.6,Mali G76,EMUI 9.0,3,4000,2400,4200,Type-C,40,全网通,Yes,0
Huawei P30 Pro,201904,4488,4988,8,8,128,256,192,6.47,OLED,2340x1080,Kirin 980,100.7,8,2.6,Mali G76,EMUI 9.1,4,4000,3200,4200,Type-C,40,全网通,No,15
Huawei P30,201904,3688,3688,8,8,128,128,165,6.1,OLED,2340x1080,Kirin 980,100.3,8,2.6,Mali G76,EMUI 9.1,3,4000,3200,3650,Type-C,22.5,全网通,No,0
Huawei nova 6 5G,201912,3499,3899,8,8,128,256,212,6.57,LTPS LCD,2400x1080 ,Kirin 990,114.3,8,2.86,Mali G76,EMUI 10.0.1,3,4000,3200,4200,Type-C,40,全网通,Yes,0
Huawei nova 6 SE,201912,2199,2199,8,8,128,128,183,6.4,LCD,2310x1080,Kirin 810 ,99.2,8,2.27,Mali-G52,EMUI 10.0.1,4,4800,1600,4200,Type-C,40,全网通,No,0
Huawei nova 5 Pro,201906,2499,2899,8,8,128,256,171,6.39,OLED,2340x1080,Kirin 980,101.7,8,2.6,Mali G76 ,EMUI 9.1,4,4800,3200,3500,Type-C,40,全网通,No,0
Huawei nova 5z,201911,1799,1799,6,6,128,128,178,6.26,LCD,2340x1080,Kirin 810 ,99.6,8,2.27,Mali-G52,EMUI 9.1,4,4800,3200,4000,Type-C,20,全网通,No,0
Huawei nova 5i Pro,201907,2099,2199,8,8,128,256,178,6.26,LTPS,2340x1080,Kirin 810 ,99.1,8,2.27,Mali-G51,EMUI 9.1,4,4800,3200,4000,Type-C,20,全网通,No,0
Huawei nova 5i,201906,1799,1999,6,8,128,128,178,6.4,TFT LCD,2310x1080,Kirin 710F,78.2,8,2.2,Mali-G51,EMUI 9.1,4,2400,2400,4000,Type-C,10,全网通,No,0
Huawei nava 4e,201903,1199,1399,4,6,128,128,19,6.15,LTPS LCD,2312x1080,Kirin 710F,77.8,8,2.2,Mali-G51,EMUI 9.0,3,2400,3200,3340,Type-C,18,全网通,No,0
Huawei 麦芒 8,201906,1599,1599,6,6,128,128,160,6.21,TFT LCD,2340x1080,Kirin 710F,78.1,8,2.2,Mali-G51,EMUI 9.0,3,2400,800,3400,Micro USB,10,全网通,No,0
Huawei 畅享10 Plus,201909,1349,1899,4,8,128,128,196.8,6.59,LCD,2340x1080,Kirin 710F,78.1,8,2.2,Mali-G51,EMUI 9.1,3,4800,1600,4000,Type-C,10,全网通,No,0
Huawei 畅享10,201910,1099,1299,4,6,64,128,176,6.39,TFT LCD,1560x720,Kirin 710F,78.1,8,2.2,Mali-G51,EMUI 9.1,2,4800,800,4000,Micro USB,10,全网通,No,0
