手机型号,上市时间,最低价格,最高价格,评价数,最小RAM,最大RAM,最小ROM,最大ROM,重量,屏幕尺寸,屏幕类型,分辨率,芯片型号,CPU得分,CPU核数,CPU主频率,GPU,操作系统,摄像头数,后置主像素,前置主像素,电池容量,充电接口,充电功率,网络类型,5G,无线充电
荣耀畅玩9A,202003,899,1199,7100,4,4,64,128,185,6.3,TFT LCD,2340x1080,联发科MT6765,55.2,8,2.3,IMG GE8320,Android 10,2,1300,800,5000,Micro USB,10,全网通,No,0
荣耀Magic2,201812,2299,2799,257652,6,8,128,256,206,6.39,AMOLED,2340x1080,Kirin 980,100.3,8,2.6,Mali G76,Magic UI 2.0,3,1600,1600,3500,Type-C,40,全网通,No,0
荣耀Note 10,201807,1659,1999,273431,6,8,64,128,230,6.95,AMOLED,2220x1080,Kirin 970,88,8,2.36,Mali-G72 MP12,EMUI 8.2,2,2400,1300,5000,Type-C,22.5,全网通,No,0
荣耀Play3,202003,899,1499,327611,4,6,64,128,176,6.39,TFT LCD,1560*720,Kirin 710F,78.1,8,2.2,Mali G51-MP4,EMUI 8.2,3,4800,800,4000,Micro USB,10,全网通,No,0
荣耀play,201806,1255,2000,567225,4,6,64,128,176,6.3,TFT LCD,2340x1080,Kirin 970,88,8,2.36,Mali-G72 MP12,EMUI 8.2,2,1600,1600,3750,Type-C,18,全网通,No,0
荣耀play3e,201909,499,899,12954,2,3,32,64,146,5.71,TFT LCD,1520x720,联发科 MT6762R,55.2,8,2.3,IMG GE8320,EMUI 9.0.1,1,1300,500,3020,Micro USB,5,全网通,No,0
荣耀9X,201909,1199,1999,1356821,4,8,64,128,206,6.59,LTPS LCD,2340x1080,Kirin 810,99.1,8,2.27,Mali-G52,EMUI 9.0.1,2,4800,1600,4000,Type-C,10,全网通,No,0
荣耀9X PRO,201909,1999,2199,114298,8,8,128,256,206,6.59,LTPS LCD,2340x1080,Kirin 810,99.2,8,2.27,Mali-G52,EMUI 9.0.1,3,4800,1600,4000,Type-C,10,全网通,No,0
荣耀8X,201809,899,1699,2168755,4,6,64,128,175,6.5,LCD,2340x1080,Kirin 710F,78.1,8,2.2,Mali G51-MP4,EMUI 8.2,2,2000,1600,3750,Micro USB,10,全网通,No,0
荣耀8X Max,201809,999,1799,456321,4,6,64,128,210,7.12,LCD,2244x1080,骁龙660,80.1,8,1.95,Adreno512,EMUI 8.2,2,1600,800,5000,Micro USB,18,全网通,No,0
小米10,202002,3999,4699,99756,8,12,128,256,208,6.67,AMOLED,2340x1080,骁龙865,108.4,8,2.84,Adreno 650,MIUI 11,4,10800,2000,4780,Type-C,30,全网通,Yes,30
小米10 Pro,202002,4999,5999,53945,8,12,256,512,208,6.67,AMOLED,2340x1080,骁龙865,108.4,8,2.84,Adreno 650,MIUI 11,4,10800,2000,4500,Type-C,50,全网通,Yes,30
小米9,201909,2299,259,583446,6,8,128,256,173,6.39,AMOLED,2340x1080,骁龙855,102.4,8,2.84,Adreno 640,MIUI 10,3,4800,2000,3300,Type-C,27,全网通,No,20
小米9 Pro,201909,3799,4299,64955,8,12,256,512,196,6.39,AMOLED,2340x1080,骁龙855+,104.4,8,2.96,Adreno 640,MIUI 11,3,4800,2000,4000,Type-C,20,全网通,No,10
小米8屏下指纹版,201809,2099,2999,1372784,6,8,128,128,177,6.21,AMOLED,2248x1080,骁龙845,96.5,8,2.8,Adreno 630,Android 8.1,2,1200,2000,3000,Type-C,18,全网通,No,0
小米8青春版,201809,899,1699,443218,4,6,64,128,169,6.26,TFT LCD,2280x1080,骁龙660AIE,80.1,8,2.2,Adreno512,Android 8.1,2,1200,2400,3350,Type-C,10,全网通,No,0
小米CC9 Pro,201911,2599,3199,74072,6,8,128,256,208,6.47,AMOLED,2340x1080,骁龙730,93.6,8,2.2,Adreno 618,MIUI 11,4,10800,3200,5260,Type-C,30,全网通,No,0
小米CC9 美图定制,201907,1499,2099,102943,6,8,64,256,179,6.39,AMOLED,2340x1080,骁龙710,84,8,2.2,Adreno 616,MIUI 11,3,4800,3200,4030,Type-C,18,全网通,No,0
小米CC9e,201907,1049,1299,315483,6,6,64,128,173.8,6.088,AMOLED,1560x720,骁龙665,82.6,8,2,Adreno 610,MIUI 10,3,4800,3200,4030,Type-C,10,全网通,No,0
小米Max3,201807,999,1299,215762,4,6,64,128,221,6.9,TFT LCD,2160x1080,骁龙636,75.8,8,1.8,Adreno509,Android 8.1,2,1200,800,5000,Type-C,18,全网通,No,0
Redmi K30 Pro,202003,2999,3999,25764,6,8,128,256,218,6.67,AMOLED,2400x1080,骁龙865,108.4,8,2.84,Adreno 650,MIUI 11,4,6400,2000,4700,Type-C,33,全网通,Yes,0
Redmi K30,201912,1699,2199,185364,6,8,128,256,208,6.67,LCD,2400x1080,骁龙730,93.6,8,2.2,Adreno 618,MIUI 11,4,6400,2000,4500,Type-C,27,全网通,No,0
Redmi K30 5G,201912,1999,2699,98344,6,8,64,256,208,6.67,LCD,2400x1080,骁龙765,92.3,8,2.4,Adreno 620,MIUI 11,4,6400,2000,4500,Type-C,30,全网通,Yes,0
Redmi K20,201805,1458,1809,112453,6,8,64,256,191,6.39,AMOLED,2340x1080 ,骁龙730,93.6,8,2.2,Adreno 618,MIUI 10,3,4800,2000,4000,Type-C,18,全网通,No,0
Redmi K20 Pro,201805,2099,2399,653872,6,8,64,256,191,6.39,AMOLED,2340x1080 ,骁龙855,102.9,8,2.84,Adreno 640,MIUI 10,3,4800,2000,4000,Type-C,27,全网通,No,0
Redmi K20 Pro尊享版,201909,2399,3299,173442,8,12,128,512,191,6.39,AMOLED,2340x1080 ,骁龙855+,104.4,8,2.96,Adreno 640,MIUI 10,3,4800,2000,4000,Type-C,27,全网通,No,0
Redmi 8A,201910,599,749,553881,3,4,32,64,188,6.22,TFT LCD,1520x720,骁龙439,64.4,8,2,Adreno505,MIUI 10,1,1200,800,5000,Type-C,18,全网通,No,0
Redmi 8,201910,699,799,73921,3,4,32,64,190,6.22,TFT LCD,1520x720,骁龙439,64.4,8,2,Adreno505,MIUI 10,2,1200,800,5000,Type-C,18,全网通,No,0
Redmi Note 8,201908,899,1299,623721,4,6,64,128,190,6.3,LCD,2340x1080,骁龙665,82.6,8,2,Adreno 610,MIUI 10,4,4800,1300,4000,Type-C,18,全网通,No,0
Redmi Note 8 Pro,201908,1199,1799,597881,6,8,64,256,199.8,6.53,LCD,2340x1080,Helio G90T,92.3,8,2.05,Mali G76,MIUI 10,4,6400,2000,4500,Type-C,18,全网通,No,0
Redmi 7A,201905,488,549,241992,2,3,16,32,165,5.45,TFT LCD,1440x720,骁龙439,64.4,8,2,Adreno505,MIUI 10,1,1300,500,4000,Type-C,10,全网通,No,0
Redmi 7,201903,699,799,435572,2,4,16,64,180,6.26,LCD,1520x720,骁龙632,74.1,8,1.8,Adreno506,MIUI 10,2,1200,800,4000,Type-C,10,全网通,No,0
Redmi Note 7,201901,599,999,1087921,3,6,32,128,186,0.3,TFT LCD,2340x1080,骁龙660AIE,80.1,8,2.2,Adreno512,MIUI 10,2,4800,1300,4000,Type-C,10,全网通,No,0
Redmi Note 7 Pro,201903,1119,1119,527721,6,6,128,128,186,6.3,TFT LCD,2340x1080,骁龙675,83.4,8,2,Adreno612,MIUI 10,2,4800,1300,4000,Type-C,18,全网通,No,0
Redmi 6 Pro,201806,668,918,829663,3,4,32,64,178,5.84,TFT LCD,2280x1080,骁龙625,70.6,8,2,Adreno506,Android 8.1,2,1200,500,4000,Micro USB,10,全网通,No,0
Redmi 6A,201806,549,621,997754,2,3,16,32,145,5.45,TFT LCD,1440x720,Helio A22,71.8,4,2,null,Android 8.1,1,1300,500,3000,Micro USB,5,全网通,No,0
OPPO Find X2 Pro,202003,6999,6999,3300,12,12,256,256,217,6.7,OLED,3168*1440,骁龙865,106.7,8,2.84,Adreno 650,ColorOS 7.1,3,4800,3200,4260,Type-C,65,全网通,Yes,0
OPPO Find X2,202003,5499,5999,5463,8,8,128,256,209,6.7,OLED,3168*1440,骁龙865,108.4,8,2.84,Adreno 650,ColorOS 7.1,3,4800,3200,4200,Type-C,65,全网通,Yes,0
OPPO Reno3 Pro,201912,3999,4499,34512,8,12,128,256,171,6.5,AMOLED,2400x1080,骁龙765,92.3,8,2.4,Adreno 620,ColorOS 7,4,4800,3200,4025,Type-C,30,全网通,Yes,0
OPPO Reno3,201912,3399,3699,15275,8,12,128,128,181,6.4,AMOLED,2400x1080,天玑1000L,101.9,8,2.2,Mali G77,ColorOS 7,4,6400,3200,4025,Type-C,30,全网通,Yes,0
OPPO Reno3 元气版,202002,2999,2999,19354,8,8,128,128,180,6.4,AMOLED,2400x1080,骁龙765,92.3,8,2.4,Adreno 620,ColorOS 7,4,4800,3200,4025,Type-C,30,全网通,Yes,0
OPPO Reno Ace,201910,2999,3799,142881,8,12,128,256,200,6.5,OLED,2400x1080,骁龙855+,104,8,2.96,Adreno 640,ColorOS 6.1,4,4800,1600,4000,Type-C,65,全网通,No,0
OPPO Reno2 Z,201910,2299,2299,18866,8,8,128,128,195,6.5,AMOLED,2340x1080,MTK P90,92.2,8,2.2,GM9446,ColorOS 6.1,4,4800,1600,4000,Type-C,20,全网通,No,0
OPPO Reno2,201909,2999,2999,31867,8,8,128,128,189,6.5,AMOLED,2400x1080,骁龙730,93.4,8,2.2,Adreno 618,ColorOS 6,4,4800,1600,4000,Type-C,18,全网通,No,0
OPPO Reno,201904,1999,2499,99771,6,8,128,256,185,6.4,AMOLED,2400x1080,骁龙710,84,8,2.2,Adreno 616,ColorOS 6,3,4800,1600,3750,Type-C,18,全网通,No,0
OPPO Reno Z,201905,2199,2199,38544,6,8,128,256,186,6.4,AMOLED,2400x1080,MTK P90,92.2,8,2.2,GM9446,ColorOS 6,3,4800,3200,4035,Type-C,18,全网通,No,0
OPPO Reno 10 变焦版,201904,2799,3199,37881,6,8,128,256,210,6.6,OLED,2340x1080,骁龙855,102.6,8,2.8,Adreno 640,ColorOS 6,3,4800,1600,4065,Type-C,18,全网通,No,0
