手机型号,上市时间,最低价格,最高价格,评价数,最小RAM,最大RAM,最小ROM,最大ROM,重量,屏幕尺寸,屏幕类型,分辨率,芯片型号,CPU得分,CPU核数,CPU主频率,GPU,操作系统,摄像头数,后置主像素,前置主像素,电池容量,充电接口,充电功率,网络类型,5G,无线充电
Samsung Galaxy A90,201910,3099,3099,33754,8,8,128,128,206,6.7,Super AMOLED,2400x1080,骁龙 855,102.9,8,2.84,Adreno 640,One UI,3,4800,3200,4500,Type-C,25,全网通,Yes,0
Samsung Galaxy A80,201907,3799,3799,14722,8,8,128,128,220,6.7,Super AMOLED,2400x1080,骁龙730,93.6,8,2.2,Adreno 618,One UI,3,4800,4800,3700,Type-C,25,全网通,No,0
Samsung Galaxy A70,201904,2499,2799,5347,6,8,128,128,220,6.7,Super AMOLED,2400x1080,骁龙 675,83.4,8,2,Adreno 612,One UI,3,3200,3200,4500,Type-C,25,全网通,No,0
Samsung Galaxy A70S,201911,2699,2699,7734,8,8,128,128,187,6.7,Super AMOLED,2400x1080,骁龙 675,84.8,8,2,Adreno 612,One UI,3,6400,3200,4500,Type-C,25,全网通,No,0
Samsung Galaxy M30S,201910,1699,1699,17841,6,6,128,128,188,6.4,Super AMOLED,2340x1080,Exynos 9611,92.8,8,2.3,Mali-G72 MP3,One UI,3,4800,1600,6000,Type-C,15,全网通,No,0
Samsung Galaxy S10e,201903,4299,4299,9297,6,6,128,128,150,5.8,AMOLED,2280x1080,骁龙 855,103.3,8,2.8,Adreno 640,One UI,2,1600,1000,3100,Type-C,15,全网通,No,10
Samsung Galaxy S10,201903,4199,4799,76742,8,8,128,512,157,6.1,AMOLED,3040x1440,骁龙 855,103.4,8,2.8,Adreno 640,One UI,3,1200,1000,3400,Type-C,15,全网通,No,10
Samsung Galaxy S10+,201903,4999,6999,58346,8,12,128,1024,175,6.4,AMOLED,3040x1440,骁龙 855,103.1,8,2.8,Adreno 640,One UI,3,1200,1000,4100,Type-C,15,全网通,No,10
Samsung Galaxy Note 10,201909,5599,5599,8467,8,8,256,256,168,6.3,AMOLED,2280x1080,骁龙 855,102.9,8,2.8,Adreno 640,One UI,3,1200,1000,3500,Type-C,25,全网通,No,10
Samsung Galaxy Note 10+,201909,7999,7999,37843,12,12,256,256,196,6.8,AMOLED,3040x1440,骁龙 855,104.2,8,2.8,Adreno 640,One UI,4,1200,1000,4300,Type-C,45,全网通,Yes,10
Samsung Galaxy A8s,201812,1599,1799,55375,6,8,128,128,173,6.4,TFT LCD,2340x1080,骁龙710,84,8,2.2,Adreno 616,Samsung Experience 9.0,3,2400,2400,3400,Type-C,10,全网通,No,0
iPhone 11 Pro,201909,8699,11799,243566,4,4,64,512,188,5.8,OLED,2436x1125,A13 仿生,114.1,6,2.66,自研四核心,iOS 13,3,1200,1200,3190,USB-C,18,全网通,No,10
iPhone 11 Pro Max,201909,9599,12699,249332,4,4,64,512,226,6.5,OLED,2688x1242,A13 仿生,114.1,6,2.66,自研四核心,iOS 13,3,1200,1200,3190,USB-C,18,全网通,No,10
iPhone 11,201909,5499,6799,1657852,4,4,64,512,194,6.1,LCD,1792x828,A12 仿生,102.8,6,2.49,自研四核心,iOS 13,1,1200,1200,3110,USB-C,18,全网通,No,10
iPhone XR,201810,4399,5199,2297552,3,3,64,256,194,6.1,LCD,1792x828,A12 仿生,102.8,6,2.49,自研四核心,ios 12,1,1200,700,2942,USB-C,18,全网通,No,10
iPhone XS,201809,5199,6499,453662,4,4,64,512,177,5.8,OLED,2436x1125,A12 仿生,102.8,6,2.49,自研四核心,ios 12,2,1200,700,2658,USB-C,18,全网通,No,10
iPhone XS Max,201809,6299,7799,1398711,4,4,64,512,208,6.5,OLED,2688x1242,A12 仿生,102.8,6,2.49,自研四核心,ios 12,2,1200,700,3174,USB-C,18,全网通,No,10
