手机型号,上市时间,最低价格,最高价格,最小RAM,最大RAM,最小ROM,最大ROM,重量,屏幕尺寸,x0_AMOLED,x0_LCD,x0_LTPS,x0_LTPS LCD,x0_OLED,x0_Optic AMOLED,x0_Super AMOLED,x0_TFT LCD,分辨率,芯片型号,CPU得分,CPU核数,CPU主频率,GPU,操作系统,摄像头数,后置主像素,前置主像素,电池容量,x0_Micro USB,x0_Type-C,x0_USB-C,充电功率,x0_全网通,x0_No,x0_Yes,无线充电,target
6.0,2.0,4.0,4.0,8,8,128,512,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,17.0,113.1,8,2.0,0.0,17.0,4,4000,3200,2.0,0.0,1.0,0.0,40.0,1.0,0.0,1.0,27,1
4.0,2.0,4.0,4.0,8,8,128,256,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,17.0,113.1,8,2.0,0.0,17.0,3,4000,2400,2.0,0.0,1.0,0.0,40.0,1.0,0.0,1.0,27,1
5.0,1.0,4.0,4.0,8,8,128,256,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,16.0,109.4,8,2.0,0.0,17.0,4,4000,3200,2.0,0.0,1.0,0.0,40.0,1.0,1.0,0.0,27,1
3.0,1.0,4.0,4.0,6,8,128,128,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,16.0,114.4,8,2.0,0.0,17.0,3,4000,2400,2.0,0.0,1.0,0.0,40.0,1.0,1.0,0.0,27,0
1.0,0.0,4.0,4.0,6,8,128,256,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,15.0,99.6,8,2.0,21.0,13.0,3,4000,2400,2.0,0.0,1.0,0.0,40.0,1.0,1.0,0.0,15,0
0.0,0.0,2.0,2.0,6,6,64,128,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,99.5,8,2.0,21.0,13.0,3,1200,2400,1.0,0.0,1.0,0.0,40.0,1.0,1.0,0.0,0,1
2.0,1.0,4.0,4.0,8,8,256,256,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,101.6,8,2.0,21.0,13.0,3,4000,2400,2.0,0.0,1.0,0.0,40.0,1.0,0.0,1.0,0,0
8.0,1.0,4.0,4.0,8,8,128,256,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,14.0,100.7,8,2.0,21.0,15.0,4,4000,3200,2.0,0.0,1.0,0.0,40.0,1.0,1.0,0.0,15,1
7.0,1.0,4.0,3.0,8,8,128,128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,14.0,100.3,8,2.0,21.0,15.0,3,4000,3200,0.0,0.0,1.0,0.0,22.5,1.0,1.0,0.0,0,1
14.0,2.0,3.0,3.0,8,8,128,256,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,16.0,114.3,8,2.0,21.0,9.0,3,4000,3200,2.0,0.0,1.0,0.0,40.0,1.0,0.0,1.0,0,1
15.0,2.0,2.0,2.0,8,8,128,128,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,99.2,8,1.0,25.0,9.0,4,4800,1600,2.0,0.0,1.0,0.0,40.0,1.0,1.0,0.0,0,0
10.0,1.0,3.0,3.0,8,8,128,256,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,14.0,101.7,8,2.0,22.0,15.0,4,4800,3200,0.0,0.0,1.0,0.0,40.0,1.0,1.0,0.0,0,1
13.0,2.0,2.0,1.0,6,6,128,128,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,99.6,8,1.0,25.0,15.0,4,4800,3200,1.0,0.0,1.0,0.0,20.0,1.0,1.0,0.0,0,1
12.0,1.0,2.0,2.0,8,8,128,256,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,99.1,8,1.0,24.0,15.0,4,4800,3200,1.0,0.0,1.0,0.0,20.0,1.0,1.0,0.0,0,0
